BST8;BST_NAME;LAND;LAT;LON
20233700;PESKI;Russische Föderation;59.823605;30.931217
20233809;GOLUTWIN;Russische Föderation;;
20234104;QUROWO;Russische Föderation;54.036273;16.577079
20234203;LUHOVICY;Russische Föderation;54.940244;39.027959
20234807;MYTISCHI;Russische Föderation;55.919847;37.765499
20234906;PODLIPKI-DATCNYE;Russische Föderation;55.024562;41.527754
20235101;ZELENY BOR;Russische Föderation;53.2775;158.185278
20235200;IVANTEEVKA;Russische Föderation;55.975927;37.91952
20235309;FRIAZINO;Russische Föderation;55.96026;38.044144
20235507;SCHOLKOWO;Russische Föderation;;
20235705;MONINO;Russische Föderation;55.842684;38.187122
20235903;PUSCHKINO;Russische Föderation;55.987833;37.841177
20236000;SOFRINO;Russische Föderation;56.136878;37.927304
20236208;HOTKOVO;Russische Föderation;56.255692;37.989136
20236307;SERGIEV POSAD/SOGA.;Russische Föderation;56.324232;38.145211
20236604;NAUGOLNYI;Russische Föderation;;
